created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T21:38:10-06:00,216,11083.33301,4921050.00000,1.31748,-19.50000,,,,
2023-02-16T21:40:18-06:00,217,11400.00000,4845300.00000,1.26116,-19.50000,,,,
2023-02-16T21:42:25-06:00,218,11683.33301,4848533.00000,1.23140,-19.50000,,,,
2023-02-16T21:44:33-06:00,219,11350.00000,4908350.00000,1.28320,-19.50000,,,,
2023-02-16T21:46:41-06:00,220,11233.33301,4899150.00000,1.29410,-19.50000,,,,
2023-02-16T21:48:48-06:00,221,11900.00000,4906916.50000,1.22354,-19.50000,,,,
2023-02-16T21:50:56-06:00,222,11650.00000,4899466.50000,1.24789,-19.50000,,,,
2023-02-16T21:53:04-06:00,223,11666.66602,4901716.50000,1.24668,-19.50000,,,,
2023-02-16T21:55:12-06:00,224,11483.33301,4899533.00000,1.26602,-19.50000,,,,
2023-02-16T21:57:19-06:00,225,11783.33301,4911366.50000,1.23677,-19.50000,,,,
2023-02-16T21:59:27-06:00,226,11983.33301,4908583.00000,1.21544,-19.50000,,,,
2023-02-16T22:01:35-06:00,227,11750.00000,4920650.00000,1.24262,-19.50000,,,,
2023-02-16T22:03:43-06:00,228,11400.00000,4930133.00000,1.28324,-19.50000,,,,
2023-02-16T22:05:50-06:00,229,11900.00000,4929583.00000,1.22919,-19.50000,,,,
2023-02-16T22:07:58-06:00,230,11750.00000,4920133.00000,1.24249,-19.50000,,,,
2023-02-16T22:10:06-06:00,231,11066.66602,4920916.50000,1.31942,-19.25000,,,,
2023-02-16T22:12:14-06:00,232,11700.00000,4901633.00000,1.24311,-19.50000,,,,
2023-02-16T22:14:21-06:00,233,12016.66602,4900766.50000,1.21014,-19.50000,,,,
2023-02-16T22:16:29-06:00,234,11666.66602,4892783.00000,1.24441,-19.50000,,,,
2023-02-16T22:18:37-06:00,235,11666.66602,4906616.50000,1.24793,-19.50000,,,,
2023-02-16T22:20:45-06:00,236,11316.66602,4905566.50000,1.28625,-19.50000,,,,
2023-02-16T22:22:52-06:00,237,11850.00000,4901016.50000,1.22722,-19.50000,,,,
2023-02-16T22:25:00-06:00,238,11650.00000,4929266.50000,1.25548,-19.50000,,,,
2023-02-16T22:27:08-06:00,239,11200.00000,4897050.00000,1.29739,-19.50000,,,,
2023-02-16T22:29:15-06:00,240,11333.33301,4901133.00000,1.28320,-19.50000,,,,
2023-02-16T22:31:23-06:00,241,11700.00000,4903500.00000,1.24358,-19.50000,,,,
2023-02-16T22:33:31-06:00,242,11733.33301,4901883.00000,1.23964,-19.50000,,,,
2023-02-16T22:35:39-06:00,243,11233.33301,4901116.50000,1.29462,-19.50000,,,,
2023-02-16T22:37:47-06:00,244,11566.66602,4899633.00000,1.25693,-19.25000,,,,
2023-02-16T22:39:54-06:00,245,11750.00000,4901400.00000,1.23776,-19.50000,,,,
2023-02-16T22:42:02-06:00,246,11400.00000,4900333.00000,1.27549,-19.50000,,,,
2023-02-16T22:44:10-06:00,247,11233.33301,4900150.00000,1.29436,-19.50000,,,,
2023-02-16T22:46:18-06:00,248,11383.33301,4898583.00000,1.27690,-19.50000,,,,
2023-02-16T22:48:25-06:00,249,11066.66602,4902766.50000,1.31456,-19.25000,,,,
2023-02-16T22:50:33-06:00,250,11766.66602,4919366.50000,1.24054,-19.25000,,,,
2023-02-16T22:52:41-06:00,251,11716.66602,4936833.00000,1.25026,-19.25000,,,,
2023-02-16T22:54:48-06:00,252,11750.00000,4909566.50000,1.23982,-19.25000,,,,
2023-02-16T22:56:56-06:00,253,11316.66602,4918050.00000,1.28952,-19.25000,,,,
2023-02-16T22:59:04-06:00,254,11066.66602,4970800.00000,1.33280,-19.50000,,,,
2023-02-16T23:01:12-06:00,255,11350.00000,4880966.50000,1.27604,-19.50000,,,,
2023-02-16T23:03:19-06:00,256,11650.00000,4969383.00000,1.26570,-19.50000,,,,
2023-02-16T23:05:27-06:00,257,12116.66602,4889700.00000,1.19744,-19.50000,,,,
2023-02-16T23:07:35-06:00,258,11666.66602,4890050.00000,1.24372,-19.50000,,,,
2023-02-16T23:09:42-06:00,259,11900.00000,4890816.50000,1.21952,-19.50000,,,,
